"","lambda","z_est","b_est"
"1",0.01,0.8074,0.7746
"2",0.1,0.8112,0.7838
"3",1,0.818,0.7886
"4",10,0.8074,0.7828
"5",0.01,0.8782,0.869
"6",0.1,0.8698,0.858
"7",1,0.8612,0.8522
"8",10,0.8764,0.865
"9",0.01,0.9138,0.9082
"10",0.1,0.9164,0.9142
"11",1,0.9234,0.9198
"12",10,0.9136,0.9082
"13",0.01,0.9418,0.9406
"14",0.1,0.9384,0.939
"15",1,0.9394,0.9354
"16",10,0.9416,0.9384
"17",0.01,0.9426,0.9366
"18",0.1,0.9434,0.9398
"19",1,0.938,0.936
"20",10,0.944,0.941
"21",0.01,0.9454,0.9424
"22",0.1,0.9434,0.9406
"23",1,0.9416,0.9358
"24",10,0.942,0.9398
