
County	Census 2000 Population	July 1, 2001 Estimates	July 1, 2002 Estimates	July 1, 2003 Estimates	July 1, 2004 Estimates	July 1, 2005 Estimates	July 1, 2006 Estimates	July 1, 2007 Estimates	July 1, 2008 Estimates	July 1, 2009 Estimates
Abbeville	26,167	26,289	26,208	26,112	25,977	25,656	25,497	25,446	25,404	25,098
Aiken	142,552	143,378	144,653	145,866	147,488	148,528	150,125	152,333	154,071	156,017
Allendale	11,211	10,963	11,000	10,913	10,810	10,727	10,546	10,453	10,447	10,195
Anderson	165,740	168,690	169,874	171,132	172,588	174,232	176,958	179,964	182,825	184,901
Bamberg	16,658	16,406	16,263	15,949	15,806	15,727	15,640	15,465	15,307	15,005
Barnwell	23,478	23,395	23,199	23,259	23,047	23,041	22,955	22,961	22,872	22,688
Beaufort	120,937	124,740	128,415	130,793	134,595	138,969	143,091	146,722	150,415	155,215
Berkeley	142,651	144,763	146,472	148,392	151,397	152,688	158,382	163,555	169,327	173,498
Calhoun	15,185	15,261	15,139	15,117	14,974	14,862	14,782	14,747	14,583	14,621
Charleston	309,969	314,279	319,723	324,900	332,561	336,865	340,625	343,522	348,046	355,276
Cherokee	52,537	52,986	53,324	53,250	53,410	53,496	53,752	53,933	54,394	54,714
Chester	34,068	33,934	33,867	33,601	33,237	32,887	32,642	32,574	32,618	32,410
Chesterfield	42,768	42,876	42,975	42,826	42,685	42,694	42,607	42,770	42,882	43,037
Clarendon	32,502	32,697	32,683	32,649	32,740	32,721	32,740	32,678	33,149	32,988
Colleton	38,264	38,424	38,591	38,700	38,852	38,926	38,844	38,916	39,019	39,246
Darlington	67,394	67,551	67,697	67,555	67,096	66,862	66,850	66,806	67,031	66,445
Dillon	30,722	30,883	30,793	30,764	30,803	30,690	30,682	30,668	30,698	30,912
Dorchester	96,413	98,402	100,540	103,359	106,161	111,609	117,635	123,357	127,133	130,417
Edgefield	24,595	24,511	24,633	24,916	25,165	25,377	25,133	25,358	25,546	25,752
Fairfield	23,454	23,582	23,754	23,658	23,921	23,677	23,608	23,284	23,435	23,343
Florence	125,761	126,234	126,986	127,984	128,939	129,808	130,751	131,731	132,800	134,208
Georgetown	55,797	56,785	57,679	58,355	59,141	59,464	59,912	60,388	60,731	60,703
Greenville	379,616	386,183	390,611	394,511	399,649	405,820	415,675	427,428	438,119	451,428
Greenwood	66,271	66,553	66,967	67,231	67,188	67,595	67,881	68,173	68,549	69,671
Hampton	21,386	21,352	21,205	21,239	21,052	20,982	21,075	21,166	21,075	21,014
Horry	196,629	201,833	206,110	210,840	217,890	228,254	239,496	249,711	257,380	263,868
Jasper	20,678	20,867	20,832	20,836	20,907	21,122	21,490	21,900	22,330	23,221
Kershaw	52,647	53,335	53,451	54,191	54,856	55,785	57,010	58,138	58,901	60,042
Lancaster	61,351	63,100	64,856	66,504	68,174	69,766	71,723	73,538	75,913	77,767
Laurens	69,567	69,972	69,699	69,587	69,208	69,328	69,370	69,533	69,681	70,045
Lee	20,119	20,047	20,086	20,115	20,280	20,210	20,103	20,011	19,891	19,722
Lexington	216,014	219,784	222,116	225,765	229,233	232,989	237,957	242,797	248,518	255,607
McCormick	9,958	10,116	10,134	10,160	9,957	10,003	10,094	10,073	10,093	10,140
Marion	35,466	35,154	34,840	34,744	34,646	34,404	34,045	33,879	33,843	33,468
Marlboro	28,818	28,547	28,472	28,279	28,094	27,587	28,943	28,975	28,704	28,783
Newberry	36,108	36,253	36,542	36,595	36,767	36,909	37,298	37,599	37,823	38,763
Oconee	66,215	66,915	67,687	68,105	68,560	69,225	69,877	70,660	71,274	71,514
Orangeburg	91,582	91,260	91,128	90,931	90,570	90,704	89,726	90,357	90,336	90,112
Pickens	110,757	111,494	111,553	112,239	112,950	113,566	114,464	115,606	116,915	118,144
Richland	320,677	326,366	329,626	335,055	342,699	344,739	350,847	358,020	364,001	372,023
Saluda	19,181	19,110	19,018	18,837	18,556	18,665	18,710	18,692	18,625	19,094
Spartanburg	253,791	256,693	258,949	260,743	262,550	265,282	269,546	275,285	280,738	286,822
Sumter	104,646	104,212	104,851	104,817	105,142	104,749	104,101	104,008	104,148	104,495
Union	29,881	29,542	29,250	28,916	28,467	28,245	28,064	27,789	27,672	27,362
Williamsburg	37,217	36,653	36,144	35,301	35,266	34,780	35,338	35,381	35,090	34,445
York	164,614	169,474	173,616	177,829	182,745	189,170	198,209	208,564	217,448	227,003
South Carolina	4,012,012	4,061,844	4,102,211	4,143,420	4,196,799	4,249,385	4,324,799	4,404,914	4,479,800	4,561,242
