Place,Division Place,Division Entrants,Division,Age,Sex,State/Country,Time (seconds),Mile pace (seconds),From USA,Maine,Time (minutes)
1,1,246,M2529,25,M,KENYA,1666.9,269,No,Away,27.782
2,1,186,M2024,21,M,KENYA,1675.1,270,No,Away,27.918
3,2,246,M2529,28,M,KENYA,1679.4,271,No,Away,27.99
4,3,246,M2529,25,M,KENYA,1680.1,271,No,Away,28.002
5,2,186,M2024,21,M,KENYA,1691.9,273,No,Away,28.198
6,3,186,M2024,22,M,KENYA,1714.1,276,No,Away,28.568
7,4,246,M2529,29,M,KENYA,1714.4,276,No,Away,28.573
8,5,246,M2529,28,M,AUSTRALIA,1719,277,No,Away,28.65
9,6,246,M2529,25,M,UT,1767.9,285,Yes,Away,29.465
10,1,316,M3034,33,M,KENYA,1771.1,286,No,Away,29.518
11,4,186,M2024,24,M,MA,1797.4,290,Yes,Away,29.957
12,7,246,M2529,29,M,ETHIOPIA,1800.6,290,No,Away,30.01
13,8,246,M2529,25,M,MI,1815,293,Yes,Away,30.25
14,2,316,M3034,33,M,KENYA,1827.1,295,No,Away,30.452
15,1,412,M4044,42,M,KENYA,1827.5,295,No,Away,30.458
16,3,316,M3034,30,M,ME,1834,296,Yes,Maine,30.567
17,5,186,M2024,24,M,MI,1837.5,296,Yes,Away,30.625
18,6,186,M2024,23,M,ME,1842,297,Yes,Maine,30.7
19,7,186,M2024,23,M,MA,1862,300,Yes,Away,31.033
20,4,316,M3034,30,M,MA,1872.4,302,Yes,Away,31.207
21,9,246,M2529,26,M,NY,1884.7,304,Yes,Away,31.412
22,10,246,M2529,27,M,ME,1891.4,305,Yes,Maine,31.523
23,1,201,M1519,19,M,NH,1901.6,307,Yes,Away,31.693
24,5,316,M3034,31,M,NH,1904.9,307,Yes,Away,31.748
25,8,186,M2024,20,M,CT,1906.5,307,Yes,Away,31.775
26,11,246,M2529,25,M,ME,1914.4,309,Yes,Maine,31.907
27,9,186,M2024,21,M,ME,1924,310,Yes,Maine,32.067
28,10,186,M2024,20,M,RI,1924.6,310,Yes,Away,32.077
29,1,397,F2529,25,F,ETHIOPIA,1928.3,311,No,Away,32.138
30,11,186,M2024,20,M,NY,1929.8,311,Yes,Away,32.163
31,12,186,M2024,20,M,ME,1932.5,311,Yes,Maine,32.208
32,13,186,M2024,23,M,ME,1933.3,312,Yes,Maine,32.222
33,2,201,M1519,17,M,ME,1935,312,Yes,Maine,32.25
34,12,246,M2529,28,M,ME,1950.3,314,Yes,Maine,32.505
35,14,186,M2024,22,M,MA,1953.1,315,Yes,Away,32.552
36,2,397,F2529,25,F,KENYA,1955.1,315,No,Away,32.585
37,1,237,F2024,23,F,ETHIOPIA,1955.5,315,No,Away,32.592
38,13,246,M2529,27,M,ME,1956.4,315,Yes,Maine,32.607
39,3,397,F2529,26,F,BURUNDI,1956.7,315,No,Away,32.612
40,1,335,M3539,35,M,MA,1960.6,316,Yes,Away,32.677
41,2,335,M3539,35,M,MA,1963.1,316,Yes,Away,32.718
42,3,201,M1519,19,M,ME,1967.6,317,Yes,Maine,32.793
43,14,246,M2529,28,M,MA,1973.5,318,Yes,Away,32.892
44,15,246,M2529,29,M,NV,1976.9,319,Yes,Away,32.948
45,3,335,M3539,35,M,MA,1976.9,319,Yes,Away,32.948
46,15,186,M2024,20,M,ME,1982.9,320,Yes,Maine,33.048
47,16,186,M2024,22,M,ME,1984.2,320,Yes,Maine,33.07
48,16,246,M2529,26,M,CA,1987.1,320,Yes,Away,33.118
49,17,186,M2024,21,M,CT,1990.5,321,Yes,Away,33.175
50,1,471,F3034,32,F,AUSTRALIA,1995.3,322,No,Away,33.255
51,2,412,M4044,40,M,JAPAN,2011.3,324,No,Away,33.522
52,1,357,M4549,48,M,ME,2013.3,324,Yes,Maine,33.555
53,4,397,F2529,29,F,AZ,2015.5,325,Yes,Away,33.592
54,18,186,M2024,21,M,ME,2020.9,326,Yes,Maine,33.682
55,2,471,F3034,31,F,AZ,2023.7,326,Yes,Away,33.728
56,17,246,M2529,25,M,MA,2024.3,326,Yes,Away,33.738
57,3,471,F3034,30,F,MI,2024.8,326,Yes,Away,33.747
58,5,397,F2529,29,F,JAPAN,2029,327,No,Away,33.817
59,2,357,M4549,46,M,MA,2029.9,327,Yes,Away,33.832
60,3,412,M4044,40,M,WA,2030.6,327,Yes,Away,33.843
61,4,201,M1519,19,M,ME,2031.5,327,Yes,Maine,33.858
62,18,246,M2529,25,M,ME,2032.6,328,Yes,Maine,33.877
63,1,333,M5054,54,M,CA,2038.9,329,Yes,Away,33.982
64,19,186,M2024,21,M,NH,2039.6,329,Yes,Away,33.993
65,5,201,M1519,17,M,ME,2044.9,330,Yes,Maine,34.082
66,1,394,F4044,40,F,ROMANIA,2045.9,330,No,Away,34.098
